day,animalCount,grassCount,emptyFieldCount,mostPopularGenomeCount,averageLifeLength,averageEnergy
0,51,335,520,2,-1.0,4.8
1,51,366,487,2,-1.0,4.9
2,51,396,461,2,-1.0,5.1
3,51,420,437,2,-1.0,5.6
4,51,450,408,2,-1.0,5.8
5,40,479,389,2,5.0,8.0
6,40,510,356,2,5.0,8.4
7,41,540,328,2,5.0,8.7
8,39,569,299,2,5.5,9.7
9,40,600,269,2,5.5,10.0
10,39,626,249,2,5.8,11.1
11,38,653,217,2,6.1,12.2
12,39,678,193,2,6.1,12.8
13,39,707,163,2,6.1,13.4
14,39,732,147,2,6.6,14.4
15,39,761,116,2,6.6,15.0
16,39,778,96,2,6.6,16.5
17,39,792,84,2,6.6,18.3
18,39,808,69,2,6.6,19.9
19,40,825,56,2,6.6,20.9
20,40,842,40,2,6.6,22.4
21,41,860,25,2,6.6,23.2
22,42,871,17,2,6.6,24.5
23,43,883,8,2,6.6,25.6
