day,animalCount,grassCount,emptyFieldCount,mostPopularGenomeCount,averageLifeLength,averageEnergy
0,150,301,479,2,-1.0,5.0
1,150,310,461,2,-1.0,4.8
2,150,322,455,2,-1.0,4.6
3,150,325,453,2,-1.0,4.5
4,150,333,449,2,-1.0,4.3
5,108,345,467,2,5.0,6.1
6,108,359,445,2,5.0,6.1
7,110,374,439,2,5.0,6.0
8,92,390,434,2,5.9,7.2
9,92,399,419,2,5.9,7.6
10,93,411,418,2,5.9,7.7
11,84,420,410,2,6.6,9.0
12,86,437,393,2,6.6,9.0
13,87,445,381,2,6.6,9.3
14,84,457,374,2,7.0,10.0
15,84,474,359,2,7.0,10.2
16,85,486,341,2,7.0,10.5
17,79,493,348,2,7.8,11.9
18,81,507,329,2,7.8,12.0
19,82,508,326,2,7.8,12.6
20,84,516,317,2,8.0,12.9
21,85,522,311,2,8.0,13.3
22,86,527,307,2,8.0,13.7
23,91,535,304,2,8.0,13.4
24,94,538,292,2,8.0,13.5
25,97,543,281,2,8.0,13.5
26,95,549,284,2,8.6,14.2
27,97,544,283,2,8.6,14.6
28,98,546,280,2,8.6,14.9
29,102,538,289,2,8.6,15.1
30,104,525,301,2,8.6,15.7
31,106,529,293,2,8.6,15.7
32,107,527,294,2,8.8,16.0
33,109,526,292,2,8.8,16.1
34,114,528,291,2,8.8,15.7
35,117,533,279,2,8.8,15.5
36,121,525,289,2,8.8,15.5
37,124,522,288,2,8.9,15.4
38,127,516,294,2,9.2,15.4
39,132,512,297,2,9.3,15.1
40,133,496,309,2,9.4,15.5
41,135,491,316,2,10.3,15.5
42,138,484,318,2,10.4,15.5
43,138,474,328,2,10.5,15.8
44,140,469,321,2,10.5,15.8
45,142,464,329,2,10.5,15.7
46,144,463,329,2,10.5,15.6
47,147,455,334,2,10.8,15.5
48,152,458,344,2,11.1,15.0
49,157,458,330,2,11.3,14.5
50,157,448,337,2,11.7,14.6
51,157,445,345,2,12.1,14.7
52,159,439,345,2,12.0,14.6
53,157,428,349,2,12.1,15.0
54,158,424,354,2,12.5,14.9
55,164,426,364,2,12.8,14.3
56,167,434,352,2,12.8,13.8
57,166,437,344,2,12.8,13.8
58,162,431,346,2,12.7,14.1
59,159,428,348,2,13.7,14.4
60,155,424,351,2,14.1,14.9
61,153,415,365,2,14.1,15.2
62,150,413,369,2,14.7,15.6
63,148,412,369,2,15.1,15.9
64,146,419,368,2,15.3,16.0
65,147,409,385,2,15.9,16.1
66,151,416,383,2,16.0,15.6
67,157,416,371,2,16.1,15.0
68,154,409,370,2,16.1,15.4
69,153,400,384,2,16.2,15.7
70,156,401,380,2,16.2,15.4
71,156,405,380,2,16.5,15.3
72,155,402,379,2,16.5,15.4
73,154,403,377,2,16.5,15.5
74,156,403,381,2,16.4,15.3
75,159,404,374,2,16.4,15.0
76,156,406,375,2,16.4,15.2
77,150,406,381,2,16.6,15.8
78,149,403,376,2,16.7,16.0
79,154,400,381,2,16.7,15.6
80,156,404,375,2,17.0,15.3
81,153,394,393,2,17.3,15.8
82,156,397,378,2,17.2,15.4
83,158,388,395,2,17.8,15.4
84,158,377,395,2,17.9,15.5
85,156,381,393,2,18.1,15.6
86,154,374,402,2,18.4,15.9
87,152,359,421,2,18.5,16.4
88,156,362,426,2,18.8,16.0
89,155,375,414,2,18.8,15.8
90,150,377,405,2,19.1,16.3
91,150,380,406,2,19.3,16.3
92,152,385,397,2,19.2,16.0
93,151,384,394,2,19.3,16.1
94,152,382,394,2,19.3,16.1
95,154,383,400,2,19.4,15.8
96,155,378,407,2,19.3,15.8
97,155,381,397,2,19.3,15.8
98,151,376,401,2,19.6,16.3
99,151,373,411,2,19.6,16.4
100,150,375,408,2,19.6,16.4
101,153,380,411,2,19.8,16.0
102,155,379,408,2,19.8,15.9
103,156,380,402,2,19.9,15.7
104,149,387,395,2,20.1,16.3
